per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_mat;tasa_ret_1er_anio;tasa_ret_2do_anio;tasa_ret_1er_anio2;tasa_ret_2do_anio3
6;0.6718749999999999;3;2;80;0.8571428571428896;0.5142857142857142;0.5857585612134777;0,514285714;0,585758561
6;0.6822916666666666;8;2;84;0.8571428571428896;0.9503105590062113;0.7754360546331203;0,950310559;0,775436055
6;0.6874999999999999;0;2;85;0.8571428571428896;0.43225734390707027;0.5857585612134777;0,432257344;0,585758561
6;0.6927083333333333;9;2;86;0.8571428571428896;0.39648586707410227;0.5857585612134777;0,396485867;0,585758561
6;0.6979166666666666;8;2;87;0.8571428571428896;0.4066445182724252;0.5857585612134777;0,406644518;0,585758561
6;0.7031249999999999;9;2;88;0.8571428571428896;0.38458315877670723;0.5857585612134777;0,384583159;0,585758561
6;0.7187499999999999;9;2;91;0.8571428571428896;0.39825184375853584;0.5857585612134777;0,398251844;0,585758561
6;0.7239583333333333;8;2;93;0.8571428571428896;0.9999999999999998;0.5857585612134777;1;0,585758561
6;0.7291666666666666;2;2;94;0.8571428571428896;0.5056552741578559;0.5857585612134777;0,505655274;0,585758561
6;0.7343749999999999;8;2;95;0.8571428571428896;0.756734693877551;0.5857585612134777;0,756734694;0,585758561
6;0.7395833333333333;9;2;96;0.8571428571428896;0.3095064935064935;0.5857585612134777;0,309506494;0,585758561
6;0.7499999999999999;8;2;101;0.8571428571428896;0.8167115902964961;0.5857585612134777;0,81671159;0,585758561
6;0.7552083333333333;4;2;103;0.8571428571428896;0.5294117647058825;0.5857585612134777;0,529411765;0,585758561
6;0.7656249999999999;4;2;104;0.8571428571428896;0.4872428908620883;0.5857585612134777;0,487242891;0,585758561
6;0.7708333333333333;9;2;105;0.8571428571428896;0.5317614424410542;0.5857585612134777;0,531761442;0,585758561
6;0.7760416666666666;9;2;106;0.8571428571428896;0.4504474643685781;0.5857585612134777;0,450447464;0,585758561
6;0.7864583333333333;9;2;108;0.8571428571428896;0.2682425488180884;0.5857585612134777;0,268242549;0,585758561
6;0.7916666666666666;7;2;109;0.8571428571428896;0.12148481439820036;0.5857585612134777;0,121484814;0,585758561
6;0.7968749999999999;0;2;110;0.8571428571428896;0.6055523423944476;0.5857585612134777;0,605552342;0,585758561
6;0.8020833333333333;5;2;49;0.8571428571428896;0.3715805471124618;0.5857585612134777;0,371580547;0,585758561
6;0.8072916666666666;8;2;50;0.8571428571428896;0.7153598281417832;0.5857585612134777;0,715359828;0,585758561
6;0.8124999999999999;1;2;51;0.8571428571428896;0.797578692493947;0.5857585612134777;0,797578692;0,585758561
6;0.8229166666666666;4;2;43;0.8571428571428896;0.5909012579700155;0.050636206741208056;0,590901258;0,050636207
5;0.0;0;1;40;0.7142857142857224;0.4128440366972479;0.4518905526534329;0,412844037;0,451890553
5;0.005208333333333333;1;1;45;0.7142857142857224;0.23686397635977463;0.4518905526534329;0,236863976;0,451890553
5;0.010416666666666668;6;1;47;0.7142857142857224;0.6543868153174988;0.4518905526534329;0,654386815;0,451890553
5;0.015625;6;1;46;0.7142857142857224;0.5266863502157622;0.4518905526534329;0,52668635;0,451890553
5;0.020833333333333332;8;1;48;0.7142857142857224;0.6246786632390746;0.4518905526534329;0,624678663;0,451890553
5;0.026041666666666668;1;1;52;0.7142857142857224;0.40766550522648104;0.4518905526534329;0,407665505;0,451890553
5;0.031249999999999997;0;1;55;0.7142857142857224;0.4641522160703746;0.4518905526534329;0,464152216;0,451890553
5;0.03645833333333333;0;1;56;0.7142857142857224;0.6061612805798853;0.4518905526534329;0,606161281;0,451890553
5;0.041666666666666664;9;1;57;0.7142857142857224;0.07563025210084029;0.4518905526534329;0,075630252;0,451890553
5;0.04687499999999999;0;1;58;0.7142857142857224;0.43665768194070065;0.4518905526534329;0,436657682;0,451890553
5;0.05208333333333333;4;1;54;0.7142857142857224;0.16194111232279162;0.4518905526534329;0,161941112;0,451890553
