per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_tit;tit_mujeres;tit_hombres;tit_total
2023-2024;135;Salud;Instituto Profesional;Técnico en Masoterapia;2022;134;43.0;177
2023-2024;136;Tecnología;Instituto Profesional;Técnico en Mecánica Automotriz;2022;32;890.0;922
2023-2024;139;Tecnología;Instituto Profesional;Técnico en Minería;2022;99;320.0;419
2023-2024;140;Salud;Instituto Profesional;Técnico en Nutrición y Dietética;2022;15;3.0;18
2023-2024;141;Arte y Arquitectura;Instituto Profesional;Técnico en Peluquería y Estética;2022;1089;29.0;1118
2023-2024;142;Salud;Instituto Profesional;Técnico en Podología;2022;288;21.0;309
2023-2024;143;Tecnología;Instituto Profesional;Técnico en Prevención de Riesgos;2022;253;329.0;582
2023-2024;145;Salud;Instituto Profesional;Técnico en Radiología y Radioterapia;2022;122;37.0;159
2023-2024;146;Ciencias Sociales;Instituto Profesional;Técnico en Relaciones Públicas;2022;58;37.0;95
2023-2024;148;Ciencias Sociales;Instituto Profesional;Técnico en Servicio Social;2022;1848;346.0;2194
2023-2024;149;Tecnología;Instituto Profesional;Técnico en Sonido;2022;25;231.0;256
2023-2024;150;Tecnología;Instituto Profesional;Técnico en Telecomunicaciones;2022;22;152.0;174
2023-2024;152;Tecnología;Instituto Profesional;Técnico en Topografía;2022;42;156.0;198
2023-2024;153;Humanidades;Instituto Profesional;Técnico en Traducción e Interpretariado;2022;73;44.0;117
2023-2024;154;Administración y Comercio;Instituto Profesional;Técnico en Turismo y Hotelería;2022;394;218.0;612
2023-2024;155;Derecho;Instituto Profesional;Técnico Jurídico;2022;358;166.0;524
2023-2024;156;Salud;Instituto Profesional;Técnico Laboratorista Dental;2022;82;28.0;110
2023-2024;157;Agropecuaria;Instituto Profesional;Técnico Veterinario;2022;178;44.0;222
